"","new.ID","X","sample_id","Composite","tokeep_NEF","pH","CE","Pw","sat","C_org","P","K","Ca","Mg","Na","CIC","Fe","Mn","Cu","Zn","B","X.Sand","X.Silt","X.Cray","code_name","dispositif","loc","landuse","plot","valley","PC1_soil","PC2_soil","x","y","z","tropical_microclimate_daily_value","tropical_microclimate_day_value","tropical_microclimate_night_value","soil_temp_0_5_value","soil_temp_5_15_value","NDVI_value","Colombia_ALOS_Topography_30m_value","HFI","ARD","Aridity","Isoth","SRad","PET","TAP","TPdriest","WVP","Wind","PC1_clim","PC2_clim","samples_aggregation"
"177","NEF_dryf_CARDP_2025",177,"P17S02","P17Q1","yes",5.72,0.453,"1.642.427","5.759.737","2.602.544","9.958.084","2.021.587","1.976.366","3.059.783","5.590.333","204.233","1.297.364","939.481","0.6352652","3.800.817",0.3884962,"7.072.698.167","2.480.075.142","4.472.266.904","P17",2,"CARDP","undisturbed","CARDP","Madgalena","-229.674.234.120.701","-0.0120057257878588",-74.802,5.084,124,"0","0","0","262.916.793.823.242","263.030.090.332.031",0.878682494163513,0.519672214984894,59.5,116,1.29,85.97,173.36,1946.8,1505.9,227.8,2.63,0.93,"0.283469255753173","168.658.094.259.801","P17S01"
"178","NEF_dryf_CARDP_2025",178,"P17S03","P17Q2","yes",5.29,0.398,"1.467.664","5.918.947","2.232.341","995.209","1.241.721","1.500.658","2.523.988","3.184.055","1.701.087","1.686.271","8.824.643","0.4448342","4.166.465",0.3558785,"7.077.731.358","2.475.810.912","4.464.577.308","P17",2,"CARDP","undisturbed","CARDP","Madgalena","-283.078.808.461.074","-0.735903665799187",-74.802,5.084,124,"0","0","0","262.916.793.823.242","263.030.090.332.031",0.878682494163513,0.519672214984894,59.5,116,1.29,85.97,173.36,1946.8,1505.9,227.8,2.63,0.93,"0.283469255753173","168.658.094.259.801","P17S03"
"179","NEF_dryf_CARDP_2025",179,"P17S04","P17Q2","yes",5.29,0.398,"1.467.664","5.918.947","2.232.341","995.209","1.241.721","1.500.658","2.523.988","3.184.055","1.701.087","1.686.271","8.824.643","0.4448342","4.166.465",0.3558785,"7.077.731.358","2.475.810.912","4.464.577.308","P17",2,"CARDP","undisturbed","CARDP","Madgalena","-283.078.808.461.074","-0.735903665799187",-74.802,5.084,124,"0","0","0","262.916.793.823.242","263.030.090.332.031",0.878682494163513,0.519672214984894,59.5,116,1.29,85.97,173.36,1946.8,1505.9,227.8,2.63,0.93,"0.283469255753173","168.658.094.259.801","P17S03"
"180","NEF_dryf_CARDP_2025",180,"P17S05","P17Q2","yes",5.29,0.398,"1.467.664","5.918.947","2.232.341","995.209","1.241.721","1.500.658","2.523.988","3.184.055","1.701.087","1.686.271","8.824.643","0.4448342","4.166.465",0.3558785,"7.077.731.358","2.475.810.912","4.464.577.308","P17",2,"CARDP","undisturbed","CARDP","Madgalena","-283.078.808.461.074","-0.735903665799187",-74.802,5.084,124,"0","0","0","262.916.793.823.242","263.030.090.332.031",0.878682494163513,0.519672214984894,59.5,116,1.29,85.97,173.36,1946.8,1505.9,227.8,2.63,0.93,"0.283469255753173","168.658.094.259.801","P17S03"
"181","NEF_dryf_CARDP_2025",181,"P17S08","P17Q1","yes",5.72,0.453,"1.642.427","5.759.737","2.602.544","9.958.084","2.021.587","1.976.366","3.059.783","5.590.333","204.233","1.297.364","939.481","0.6352652","3.800.817",0.3884962,"7.072.698.167","2.480.075.142","4.472.266.904","P17",2,"CARDP","undisturbed","CARDP","Madgalena","-229.674.234.120.701","-0.0120057257878588",-74.802,5.084,124,"0","0","0","262.916.793.823.242","263.030.090.332.031",0.878682494163513,0.519672214984894,59.5,116,1.29,85.97,173.36,1946.8,1505.9,227.8,2.63,0.93,"0.283469255753173","168.658.094.259.801","P17S01"
"182","NEF_dryf_CARDP_2025",182,"P17S09","P17Q3","yes",7.02,0.541,"1.598.664","6.434.582","2.821.661","7.962.831","1.621.494","1.475.656","2.908.648","7.932.824","166.594","1.385.359","8.543.635","0.3728671","5.559.276",0.5863903,"7.277.155.881","2.275.809.987","4.470.341.315","P17",2,"CARDP","undisturbed","CARDP","Madgalena","-213.866.674.176.156","0.630166679899378",-74.802,5.084,124,"0","0","0","262.916.793.823.242","263.030.090.332.031",0.878682494163513,0.519672214984894,59.5,116,1.29,85.97,173.36,1946.8,1505.9,227.8,2.63,0.93,"0.283469255753173","168.658.094.259.801","P17S09"
"183","NEF_dryf_CARDP_2025",183,"P17S14","P17Q4","yes",7.01,0.426,"1.192.358","5.059.618","1.848.768","9.066.978","1.675.017","2.336.779","3.734.565","9.129.575","1.785.324","9.363.733","7.301.231","0.3132915","7.694.667",0.4219892,"8.097.583.742","1.659.554.589","2.428.616.695","P17",2,"CARDP","undisturbed","CARDP","Madgalena","-349.912.970.273.152","12.281.764.564.784",-74.802,5.084,124,"0","0","0","262.916.793.823.242","263.030.090.332.031",0.878682494163513,0.519672214984894,59.5,116,1.29,85.97,173.36,1946.8,1505.9,227.8,2.63,0.93,"0.283469255753173","168.658.094.259.801","P17S11"
"200","NEF_dryf_MATIT_2025",200,"P19S02","P19Q1","yes",6.38,0.268,"1.681.348","627.035","2.029.915","6.047.482","1.089.434","9.687.609","5.510.763","3.879.347","1.607.082","3.910.176","2.807.422","0.6263571","5.881.249",0.580771,"6.664.851.876","268.438.749","6.507.606.344","P19",2,"MATIT","undisturbed","MATIT","Guajira","-142.144.626.259.471","-10.337.003.280.209",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S01"
"201","NEF_dryf_MATIT_2025",201,"P19S03","P19Q2","yes",6.71,0.429,"1.869.299","6.112.158","2.309.942","5.557.517","1.061.458","1309.74","7.108.481","6.170.223","1.972.002","2.399.348","2.758.539","0.46921","5.958.539",0.5102746,"6.251.209.873","3.096.826.604","6.519.635.237","P19",2,"MATIT","undisturbed","MATIT","Guajira","-0.924847502996478","-0.609641611982004",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S03"
"202","NEF_dryf_MATIT_2025",202,"P19S06","P19Q2","yes",6.71,0.429,"1.869.299","6.112.158","2.309.942","5.557.517","1.061.458","1309.74","7.108.481","6.170.223","1.972.002","2.399.348","2.758.539","0.46921","5.958.539",0.5102746,"6.251.209.873","3.096.826.604","6.519.635.237","P19",2,"MATIT","undisturbed","MATIT","Guajira","-0.924847502996478","-0.609641611982004",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S03"
"203","NEF_dryf_MATIT_2025",203,"P19S07","P19Q1","yes",6.38,0.268,"1.681.348","627.035","2.029.915","6.047.482","1.089.434","9.687.609","5.510.763","3.879.347","1.607.082","3.910.176","2.807.422","0.6263571","5.881.249",0.580771,"6.664.851.876","268.438.749","6.507.606.344","P19",2,"MATIT","undisturbed","MATIT","Guajira","-142.144.626.259.471","-10.337.003.280.209",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S01"
"204","NEF_dryf_MATIT_2025",204,"P19S09","P19Q3","yes",6.59,0.365,"1.261.838","590.694","1.713.193","6.962.969","1.043.382","1.185.154","4.582.888","4.713.941","152.808","1.961.665","1.718.737","0.2971022","5.626.715",0.4024064,"6.476.088.112","3.078.359.791","4.455.520.972","P19",2,"MATIT","undisturbed","MATIT","Guajira","-206.029.239.397.593","-0.610313361840976",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S09"
"205","NEF_dryf_MATIT_2025",205,"P19S10","P19Q3","yes",6.59,0.365,"1.261.838","590.694","1.713.193","6.962.969","1.043.382","1.185.154","4.582.888","4.713.941","152.808","1.961.665","1.718.737","0.2971022","5.626.715",0.4024064,"6.476.088.112","3.078.359.791","4.455.520.972","P19",2,"MATIT","undisturbed","MATIT","Guajira","-206.029.239.397.593","-0.610313361840976",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S09"
"206","NEF_dryf_MATIT_2025",206,"P19S11","P19Q4","yes",6.49,0.328,"1.778.934","763.342","2.130.629","7.593.129","7.319.534","1.224.694","6.307.811","1.981.168","2.001.428","2.722.607","2.459.712","0.3049297","4.548.297",0.5591087,"605.097.742","329.763.739","6.513.851.904","P19",2,"MATIT","undisturbed","MATIT","Guajira","-0.395990567232399","-1.137.661.507.227",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S11"
"207","NEF_dryf_MATIT_2025",207,"P19S12","P19Q4","yes",6.49,0.328,"1.778.934","763.342","2.130.629","7.593.129","7.319.534","1.224.694","6.307.811","1.981.168","2.001.428","2.722.607","2.459.712","0.3049297","4.548.297",0.5591087,"605.097.742","329.763.739","6.513.851.904","P19",2,"MATIT","undisturbed","MATIT","Guajira","-0.395990567232399","-1.137.661.507.227",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S11"
"208","NEF_dryf_MATIT_2025",208,"P19S13","P19Q4","yes",6.49,0.328,"1.778.934","763.342","2.130.629","7.593.129","7.319.534","1.224.694","6.307.811","1.981.168","2.001.428","2.722.607","2.459.712","0.3049297","4.548.297",0.5591087,"605.097.742","329.763.739","6.513.851.904","P19",2,"MATIT","undisturbed","MATIT","Guajira","-0.395990567232399","-1.137.661.507.227",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S11"
"209","NEF_dryf_MATIT_2025",209,"P19S14","P19Q4","yes",6.49,0.328,"1.778.934","763.342","2.130.629","7.593.129","7.319.534","1.224.694","6.307.811","1.981.168","2.001.428","2.722.607","2.459.712","0.3049297","4.548.297",0.5591087,"605.097.742","329.763.739","6.513.851.904","P19",2,"MATIT","undisturbed","MATIT","Guajira","-0.395990567232399","-1.137.661.507.227",-72.955,11.338,342,"0","0","0","273.053.932.189.941","274.655.284.881.592",0.692853808403015,0.0479000695049763,48,56,1.8,77.62,188.21,1959.7,1087.4,31.9,2.77,4.17,"452.426.971.068.899","0.19657236514415","P19S11"
"223","NEF_dryf_MACUI_2025",223,"P21S01","P21Q1","yes",5.98,0.389,"1.064.045","6.063.843","224.135","1.998.297","9.891.946","8.991.729","2.351.174","4.860.574","1.485.884","2.351.821","2.163.134","0.6852142","4.005.977",0.6486196,"7.493.611.768","2.263.834.515","242.553.717","P21",2,"MACUI","undisturbed","MACUI","Guajira","-225.972.401.653.101","-0.853447606834171",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S01"
"224","NEF_dryf_MACUI_2025",224,"P21S02","P21Q1","yes",5.98,0.389,"1.064.045","6.063.843","224.135","1.998.297","9.891.946","8.991.729","2.351.174","4.860.574","1.485.884","2.351.821","2.163.134","0.6852142","4.005.977",0.6486196,"7.493.611.768","2.263.834.515","242.553.717","P21",2,"MACUI","undisturbed","MACUI","Guajira","-225.972.401.653.101","-0.853447606834171",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S01"
"225","NEF_dryf_MACUI_2025",225,"P21S03","P21Q2","yes",5.86,0.397,"1.297.789","6.077.868","2.159.225","2.393.556","201.222","1121.77","2.781.111","3.285.695","1.623.773","3.209.337","2.814.721","0.9884638","4.492.557",0.4783088,"6.880.028.177","287.685.712","2.431.147.032","P21",2,"MACUI","undisturbed","MACUI","Guajira","-178.914.453.519.713","-10.887.566.990.811",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S03"
"226","NEF_dryf_MACUI_2025",226,"P21S04","P21Q2","yes",5.86,0.397,"1.297.789","6.077.868","2.159.225","2.393.556","201.222","1121.77","2.781.111","3.285.695","1.623.773","3.209.337","2.814.721","0.9884638","4.492.557",0.4783088,"6.880.028.177","287.685.712","2.431.147.032","P21",2,"MACUI","undisturbed","MACUI","Guajira","-178.914.453.519.713","-10.887.566.990.811",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S03"
"227","NEF_dryf_MACUI_2025",227,"P21S05","P21Q2","yes",5.86,0.397,"1.297.789","6.077.868","2.159.225","2.393.556","201.222","1121.77","2.781.111","3.285.695","1.623.773","3.209.337","2.814.721","0.9884638","4.492.557",0.4783088,"6.880.028.177","287.685.712","2.431.147.032","P21",2,"MACUI","undisturbed","MACUI","Guajira","-178.914.453.519.713","-10.887.566.990.811",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S03"
"228","NEF_dryf_MACUI_2025",228,"P21S06","P21Q2","yes",5.86,0.397,"1.297.789","6.077.868","2.159.225","2.393.556","201.222","1121.77","2.781.111","3.285.695","1.623.773","3.209.337","2.814.721","0.9884638","4.492.557",0.4783088,"6.880.028.177","287.685.712","2.431.147.032","P21",2,"MACUI","undisturbed","MACUI","Guajira","-178.914.453.519.713","-10.887.566.990.811",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S03"
"229","NEF_dryf_MACUI_2025",229,"P21S07","P21Q1","yes",5.98,0.389,"1.064.045","6.063.843","224.135","1.998.297","9.891.946","8.991.729","2.351.174","4.860.574","1.485.884","2.351.821","2.163.134","0.6852142","4.005.977",0.6486196,"7.493.611.768","2.263.834.515","242.553.717","P21",2,"MACUI","undisturbed","MACUI","Guajira","-225.972.401.653.101","-0.853447606834171",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S01"
"230","NEF_dryf_MACUI_2025",230,"P21S08","P21Q1","yes",5.98,0.389,"1.064.045","6.063.843","224.135","1.998.297","9.891.946","8.991.729","2.351.174","4.860.574","1.485.884","2.351.821","2.163.134","0.6852142","4.005.977",0.6486196,"7.493.611.768","2.263.834.515","242.553.717","P21",2,"MACUI","undisturbed","MACUI","Guajira","-225.972.401.653.101","-0.853447606834171",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S01"
"231","NEF_dryf_MACUI_2025",231,"P21S09","P21Q3","yes",5.63,0.265,"0.9686697","5.048.433","1.481.268","1.553.043","1.254.798","6.452.625","1.968.344","5.573.067","120.408","2.403.276","2.445.704","0.824914","3.424.251",0.3571553,"668.822.771","3.069.447.473","2.423.248.169","P21",2,"MACUI","undisturbed","MACUI","Guajira","-281.073.421.467.262","-155.847.736.487.711",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S09"
"232","NEF_dryf_MACUI_2025",232,"P21S10","P21Q3","yes",5.63,0.265,"0.9686697","5.048.433","1.481.268","1.553.043","1.254.798","6.452.625","1.968.344","5.573.067","120.408","2.403.276","2.445.704","0.824914","3.424.251",0.3571553,"668.822.771","3.069.447.473","2.423.248.169","P21",2,"MACUI","undisturbed","MACUI","Guajira","-281.073.421.467.262","-155.847.736.487.711",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S09"
"233","NEF_dryf_MACUI_2025",233,"P21S11","P21Q4","yes",5.95,0.266,"0.9679863","6.058.079","1.804.025","1.693.106","9.098.024","8.400.032","2.141.652","2.680.498","1.140.157","2.235.472","1.701.573","0.7683663","3.106.583",0.5372723,"7.495.994.016","2.261.682.807","2.423.231.769","P21",2,"MACUI","undisturbed","MACUI","Guajira","-278.070.280.114.393","-0.903152144207049",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S11"
"234","NEF_dryf_MACUI_2025",234,"P21S12","P21Q4","yes",5.95,0.266,"0.9679863","6.058.079","1.804.025","1.693.106","9.098.024","8.400.032","2.141.652","2.680.498","1.140.157","2.235.472","1.701.573","0.7683663","3.106.583",0.5372723,"7.495.994.016","2.261.682.807","2.423.231.769","P21",2,"MACUI","undisturbed","MACUI","Guajira","-278.070.280.114.393","-0.903152144207049",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S11"
"235","NEF_dryf_MACUI_2025",235,"P21S13","P21Q4","yes",5.95,0.266,"0.9679863","6.058.079","1.804.025","1.693.106","9.098.024","8.400.032","2.141.652","2.680.498","1.140.157","2.235.472","1.701.573","0.7683663","3.106.583",0.5372723,"7.495.994.016","2.261.682.807","2.423.231.769","P21",2,"MACUI","undisturbed","MACUI","Guajira","-278.070.280.114.393","-0.903152144207049",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S11"
"236","NEF_dryf_MACUI_2025",236,"P21S14","P21Q4","yes",5.95,0.266,"0.9679863","6.058.079","1.804.025","1.693.106","9.098.024","8.400.032","2.141.652","2.680.498","1.140.157","2.235.472","1.701.573","0.7683663","3.106.583",0.5372723,"7.495.994.016","2.261.682.807","2.423.231.769","P21",2,"MACUI","undisturbed","MACUI","Guajira","-278.070.280.114.393","-0.903152144207049",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S11"
"237","NEF_dryf_MACUI_2025",237,"P21S15","P21Q3","yes",5.63,0.265,"0.9686697","5.048.433","1.481.268","1.553.043","1.254.798","6.452.625","1.968.344","5.573.067","120.408","2.403.276","2.445.704","0.824914","3.424.251",0.3571553,"668.822.771","3.069.447.473","2.423.248.169","P21",2,"MACUI","undisturbed","MACUI","Guajira","-281.073.421.467.262","-155.847.736.487.711",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S09"
"238","NEF_dryf_MACUI_2025",238,"P21S16","P21Q3","yes",5.63,0.265,"0.9686697","5.048.433","1.481.268","1.553.043","1.254.798","6.452.625","1.968.344","5.573.067","120.408","2.403.276","2.445.704","0.824914","3.424.251",0.3571553,"668.822.771","3.069.447.473","2.423.248.169","P21",2,"MACUI","undisturbed","MACUI","Guajira","-281.073.421.467.262","-155.847.736.487.711",-71.35,12.199,387,"0","0","0","277.118.034.362.793","266.946.449.279.785",0.865702867507935,0.609165668487549,34,33,3.42,75.43,185.69,1768.6,517,32.1,2.67,4.84,"515.041.030.126.427","-176.894.059.657.812","P21S09"
